"","match","int_corr","race_dif","age_dif","field_cd_dif","undergrd_dif","imprace_dif","imprelig_dif","from_dif","goal_dif","date_dif","go_out_dif","career_c_dif","sports_dif","tvsports_dif","exercise_dif","dining_dif","museums_dif","art_dif","hiking_dif","gaming_dif","clubbing_dif","reading_dif","tv_dif","theater_dif","movies_dif","concerts_dif","music_dif","shopping_dif","yoga_dif","exphappy_dif","attr1_1_dif","sinc1_1_dif","intel1_1_dif","fun1_1_dif","amb1_1_dif","shar1_1_dif","attr2_1_dif","sinc2_1_dif","intel2_1_dif","fun2_1_dif","amb2_1_dif","shar2_1_dif","attr3_1_dif","sinc3_1_dif","intel3_1_dif","fun3_1_dif","amb3_1_dif","id_1","id_2"
"31",0,-0.18,0,4,1,0,6,2,1,0,0,3,1,7,6,4,1,1,2,2,0,3,2,5,5,1,1,1,4,7,6,15,0,0,0,10,5,5,5,5,10,20,5,1,1,1,2,3,4,11
"32",0,-0.18,0,1,0,0,0,0,1,0,4,0,0,8,6,3,1,1,1,4,2,2,1,1,5,0,1,2,4,3,6,40,20,20,20,10,10,5,5,10,10,10,10,2,1,3,0,1,4,12
"33",0,0.05,1,1,0,0,2,4,1,1,2,0,0,6,7,4,2,1,1,3,2,0,1,1,1,1,1,2,7,7,2,1,2,1,2,4,2,10,6,1,12,11,4,3,1,1,1,5,4,13
"34",1,-0.18,0,0,0,0,0,0,1,1,1,0,0,9,5,2,1,3,4,3,3,1,1,0,6,3,2,1,5,7,7,10,15,5,20,5,5,10,5,5,10,0,10,2,1,2,0,1,4,14
"35",0,0.21,1,1,0,0,2,0,1,0,1,0,0,8,6,3,0,2,4,1,2,2,1,1,0,2,2,0,1,7,4,10,10,0,10,0,10,10,10,5,10,5,0,0,1,2,2,1,4,15
"36",0,0.37,0,2,1,0,8,1,1,0,0,0,1,6,1,0,0,1,0,2,0,2,1,4,2,1,1,1,5,7,6,30,20,10,10,10,0,20,5,15,25,0,5,1,2,1,1,2,4,16
"37",0,0.35,0,7,1,0,0,0,1,1,2,1,1,7,1,3,0,1,2,3,3,1,3,5,2,2,1,0,1,6,3,15,5,5,10,5,0,5,10,5,10,5,5,0,1,1,3,4,4,17
"38",0,0.15,0,4,1,0,7,7,1,0,1,0,1,4,4,1,2,2,4,3,1,5,1,2,6,2,5,1,1,7,4,13.33,8.89,8.89,8.89,1.11,12.22,20,0,5,5,20,0,1,0,1,3,1,4,18
"39",1,-0.47,0,5,1,0,0,0,1,1,4,0,1,9,9,4,3,1,2,1,2,2,1,6,8,0,1,0,6,2,9,30,20,5,10,10,5,10,5,5,20,5,5,3,2,3,1,2,4,19
"40",0,-0.19,0,1,1,0,0,0,1,0,4,0,1,9,9,4,3,3,2,3,5,3,1,4,1,1,2,1,4,2,5,80,20,20,20,10,10,20,0,5,20,5,0,0,1,3,1,2,4,20
